[20:12:34] GPU 运行库目录: ['C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cublas\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_nvrtc\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_runtime\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cudnn\\bin']
[20:12:34] 扫描文件夹: F:\Project\Life
[20:12:34] 共发现 499 个音视频文件
[20:12:34] 首次运行会下载模型，请耐心等待……
[20:12:40] 实际使用：模型 small  设备 cuda (float16)
[20:12:40] [1/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.mp4
[20:13:15]     完成（用时 35s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.txt
[20:13:15] [2/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.mp4
[20:14:09]     完成（用时 54s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.txt
[20:14:09] [3/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.mp4
[20:14:32]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.txt
[20:14:32] [4/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.mov
[20:14:55]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.txt
[20:14:55] [5/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.mov
[20:15:26]     完成（用时 31s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.txt
[20:15:26] [6/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.mov
[20:15:51]     完成（用时 25s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.txt
[20:15:51] [7/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.mov
[20:16:36]     完成（用时 45s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.txt
[20:16:36] [8/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.mov
[20:17:10]     完成（用时 34s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.txt
[20:17:10] [9/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.mov
[20:17:33]     完成（用时 22s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.txt
[20:17:33] [10/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.mp4
[20:18:17]     完成（用时 44s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.txt
[20:18:17] [11/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.mp4
[20:18:46]     完成（用时 29s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.txt
[20:18:46] [12/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.mp4
[20:19:16]     完成（用时 30s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.txt
[20:19:16] [13/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.mov
[20:19:35]     完成（用时 19s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.txt
[21:22:33]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\223.听完这5句话，你会觉得错过的不止一个亿.txt
[21:22:33] [166/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\224.如何解放双手，来一记全垒打.mp3
[21:22:49]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\224.如何解放双手，来一记全垒打.txt
[21:22:49] [167/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\225.如何再次解放双手，再来一记全垒打.mp3
[21:23:01]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\225.如何再次解放双手，再来一记全垒打.txt
[21:23:01] [168/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\226.当女生喜欢你时，都有哪些表现.mp3
[21:23:20]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\226.当女生喜欢你时，都有哪些表现.txt
[21:23:20] [169/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\227.心爱的她生气了，该怎么哄.mp3
[21:23:47]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\227.心爱的她生气了，该怎么哄.txt
[21:23:47] [170/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\228.做一个精致的男人，让女生倒追你.mp3
[21:24:01]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\228.做一个精致的男人，让女生倒追你.txt
[21:24:01] [171/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\229.爱一个人，就要好好珍惜.mp3
[21:24:22]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\229.爱一个人，就要好好珍惜.txt
[21:24:22] [172/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\23.如何优雅地为她点一支酒，然后做一些难以名状的事情.mp3
[21:24:41]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\23.如何优雅地为她点一支酒，然后做一些难以名状的事情.txt
[21:24:41] [173/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\230.女生对你忽冷忽热，你只需要这样做就能改变现状.mp3
[21:25:08]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\230.女生对你忽冷忽热，你只需要这样做就能改变现状.txt
[21:25:08] [174/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\231.远离坑人的恋爱套路，这些技巧才是你要学的！.mp3
[21:25:17]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\231.远离坑人的恋爱套路，这些技巧才是你要学的！.txt
[21:25:17] [175/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\232.世界杯之夜，要这样调教女朋友.mp3
[21:25:41]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\232.世界杯之夜，要这样调教女朋友.txt
[21:25:41] [176/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\233.最强搭讪攻略，一句话要到妹子微信.mp3
[21:26:01]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\233.最强搭讪攻略，一句话要到妹子微信.txt
[21:26:01] [177/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\234.三步拥有女朋友的终极法则.mp3
[21:26:17]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\234.三步拥有女朋友的终极法则.txt
[21:26:17] [178/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\235.一句话聊酥妹子的方法.mp3
[21:26:35]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\235.一句话聊酥妹子的方法.txt
[21:26:35] [179/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\236.爱她，先从学会爱自己开始.mp3
[21:26:51]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\236.爱她，先从学会爱自己开始.txt
[21:26:51] [180/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\237.第一次约会在哪，女生会很兴奋.mp3
[21:27:14]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\237.第一次约会在哪，女生会很兴奋.txt
[21:27:14] [181/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\238.这样讲故事，女生最爱听.mp3
[21:27:26]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\238.这样讲故事，女生最爱听.txt
[21:27:26] [182/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\239.不以邀约为目的的聊天都是耍流氓.mp3
[21:27:42]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\239.不以邀约为目的的聊天都是耍流氓.txt
[21:27:42] [183/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\24.一句话让女生觉得你很会撩！.mp3
[21:28:07]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\24.一句话让女生觉得你很会撩！.txt
[21:28:07] [184/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\240.第一次约会在哪，女生会很兴奋.mp3
[21:28:29]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\240.第一次约会在哪，女生会很兴奋.txt
[21:28:29] [185/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\241.如何搭讪各种职业女生.mp3
[21:28:46]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\241.如何搭讪各种职业女生.txt
[21:28:46] [186/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\242.远离渣女，不做备胎.mp3
[21:29:00]     完成（用时 13s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\242.远离渣女，不做备胎.txt
[21:29:00] [187/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\244.面对女孩不自信，该怎么办？.mp3
[21:29:12]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\244.面对女孩不自信，该怎么办？.txt
[21:29:12] [188/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\245.微信上和女生聊天的正确方式，分分钟抓住她的心.mp3
[21:29:48]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\245.微信上和女生聊天的正确方式，分分钟抓住她的心.txt
[21:29:48] [189/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\246.和女生聊天的小技巧.mp3
[21:29:58]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\246.和女生聊天的小技巧.txt
[21:29:58] [190/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\247.夏天约妹子攻略.mp3
[21:30:10]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\247.夏天约妹子攻略.txt
[21:30:10] [191/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\248.说给单身的你.mp3
[21:30:41]     完成（用时 31s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\248.说给单身的你.txt
[21:30:41] [192/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\249.这么追女孩，你肯定单身啊.mp3
[21:31:01]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\249.这么追女孩，你肯定单身啊.txt
[21:31:01] [193/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\25.你必须明白的撩妹策略——打破和谐感.mp3
[21:31:19]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\25.你必须明白的撩妹策略——打破和谐感.txt
[21:31:19] [194/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\250.一个聊天技巧，让你成功追到女生.mp3
[21:31:33]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\250.一个聊天技巧，让你成功追到女生.txt
[21:31:33] [195/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\251.内向男生怎么谈恋爱.mp3
[21:31:53]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\251.内向男生怎么谈恋爱.txt
[21:31:53] [196/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\252.追女孩，其实是在让自己变得更好.mp3
[21:32:14]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\252.追女孩，其实是在让自己变得更好.txt
[21:32:14] [197/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\253.和女生约会，要这样做.mp3
[21:32:28]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\253.和女生约会，要这样做.txt
[21:32:28] [198/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\254.26个花钱不多但特别甜的约会活动.mp3
[21:32:54]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\254.26个花钱不多但特别甜的约会活动.txt
[21:32:54] [199/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\255.学会这招情绪聊天法，没有你撩不到的妹.mp3
[21:33:12]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\255.学会这招情绪聊天法，没有你撩不到的妹.txt
[21:33:12] [200/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\256.如何让你喜欢的女生主动约你.mp3
[21:33:26]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\256.如何让你喜欢的女生主动约你.txt
[21:33:26] [201/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\257.百分之九十直男都不知道的“朋友圈法则.mp3
[21:33:42]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\257.百分之九十直男都不知道的“朋友圈法则.txt
[21:33:42] [202/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\258.你必须得知道的追女神攻略.mp3
[21:34:00]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\258.你必须得知道的追女神攻略.txt
[21:34:00] [203/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\259.女生经常说的“男人味”到底是个什么.mp3
[21:34:14]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\259.女生经常说的“男人味”到底是个什么.txt
[21:34:14] [204/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\26.这么说话，一开口就做与众不同的男人.mp3
[21:34:38]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\26.这么说话，一开口就做与众不同的男人.txt
[21:34:38] [205/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\260.让你喜欢的女生喜欢上你.mp3
[21:34:52]     完成（用时 13s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\260.让你喜欢的女生喜欢上你.txt
[21:34:52] [206/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\27.“趣味性挑战女生”的聊天套路.mp3
[21:35:16]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\27.“趣味性挑战女生”的聊天套路.txt
[21:35:16] [207/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\28.备胎逆袭手册.mp3
[21:35:47]     完成（用时 32s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\28.备胎逆袭手册.txt
[21:35:47] [208/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\29.稳！准！狠！社交软件上的妹子这样套路才有效.mp3
[21:36:15]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\29.稳！准！狠！社交软件上的妹子这样套路才有效.txt
[21:36:15] [209/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\30.学会邀约——从“网友”变男友的第一步.mp3
[21:36:33]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\30.学会邀约——从“网友”变男友的第一步.txt
[21:36:33] [210/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\31.一招增强自己的幽默感.mp3
[21:36:51]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\31.一招增强自己的幽默感.txt
[21:36:51] [211/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\32.简单易学的幽默技巧.mp3
[21:37:08]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\32.简单易学的幽默技巧.txt
[21:37:08] [212/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\33.去这样的地方约会才容易聊得飞起.mp3
[21:37:31]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\33.去这样的地方约会才容易聊得飞起.txt
[21:37:31] [213/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\34.初次见面这么聊才能快速吸引她！.mp3
[21:37:59]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\34.初次见面这么聊才能快速吸引她！.txt
[21:37:59] [214/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\35.约会太干？我来教你怎么聊天聊湿润！.mp3
[21:38:27]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\35.约会太干？我来教你怎么聊天聊湿润！.txt
[21:38:27] [215/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\36.一开口就吸引妹子的声音是这样塑造的.mp3
[21:38:52]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\36.一开口就吸引妹子的声音是这样塑造的.txt
[21:38:52] [216/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\37.做魅力男人从肢体语言开始.mp3
[21:39:13]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\37.做魅力男人从肢体语言开始.txt
[21:39:13] [217/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\38.高情商是这样修炼出来的.mp3
[21:39:37]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\38.高情商是这样修炼出来的.txt
[21:39:37] [218/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\39.可以无限复制的幽默小技巧.mp3
[21:39:58]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\39.可以无限复制的幽默小技巧.txt
[21:39:58] [219/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\40.在聚会上如何优雅地结识心仪的女生.mp3
[21:40:23]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\40.在聚会上如何优雅地结识心仪的女生.txt
[21:40:23] [220/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\41.别被那家伙冲昏头脑，学会理性搞对象！.mp3
[21:40:48]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\41.别被那家伙冲昏头脑，学会理性搞对象！.txt
[21:40:48] [221/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\42.礼物送的好，撩妹没烦恼.mp3
[21:41:06]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\42.礼物送的好，撩妹没烦恼.txt
[21:41:06] [222/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\43.拿去！你要的女生最喜欢礼物清单.mp3
[21:41:23]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\43.拿去！你要的女生最喜欢礼物清单.txt
[21:41:23] [223/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\44.这么说话她才会主动找你聊天.mp3
[21:41:40]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\44.这么说话她才会主动找你聊天.txt
[21:41:40] [224/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\45.身体越来越近，心里才能越来越近.mp3
[21:42:03]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\45.身体越来越近，心里才能越来越近.txt
[21:42:03] [225/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\46.这样接吻后面的事情会更精彩.mp3
[21:42:28]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\46.这样接吻后面的事情会更精彩.txt
[21:42:28] [226/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\47.没有安全感的病要这样治.mp3
[21:42:47]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\47.没有安全感的病要这样治.txt
[21:42:47] [227/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\48.如何引诱她跟你来一场说走就走的旅行.mp3
[21:43:12]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\48.如何引诱她跟你来一场说走就走的旅行.txt
[21:43:12] [228/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\49.高情商男生是这样准备一场浪漫双人游的.mp3
[21:43:40]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\49.高情商男生是这样准备一场浪漫双人游的.txt
[21:43:40] [229/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\50.史上第二全面的拍照攻略，让你成为别人家男朋友.mp3
[21:44:18]     完成（用时 38s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\50.史上第二全面的拍照攻略，让你成为别人家男朋友.txt
[21:44:18] [230/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\51.从优秀到卓越——给妹子拍照进阶指南.mp3
[21:44:38]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\51.从优秀到卓越——给妹子拍照进阶指南.txt
[21:44:38] [231/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\52.旅行中的美妙夜晚——怎么聊才能抱着她一起度过？.mp3
[21:45:13]     完成（用时 35s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\52.旅行中的美妙夜晚——怎么聊才能抱着她一起度过？.txt
[21:45:13] [232/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\53.自己吃饭容易，和妹子吃饭就不那么容易了.mp3
[21:45:36]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\53.自己吃饭容易，和妹子吃饭就不那么容易了.txt
[21:45:36] [233/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\54.还没开口就能提高妹子兴趣度的高情商行为.mp3
[21:45:58]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\54.还没开口就能提高妹子兴趣度的高情商行为.txt
[21:45:58] [234/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\55.吸引秘诀：通过转场与女生自然地交流.mp3
[21:46:16]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\55.吸引秘诀：通过转场与女生自然地交流.txt
[21:46:16] [235/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\56.怎样谈一场有质量的恋爱.mp3
[21:46:41]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\56.怎样谈一场有质量的恋爱.txt
[21:46:41] [236/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\57.最强的吸引和最快的吸引，你选哪个？.mp3
[21:46:55]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\57.最强的吸引和最快的吸引，你选哪个？.txt
[21:46:55] [237/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\58.面对不良情绪高情商的处理方式.mp3
[21:47:13]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\58.面对不良情绪高情商的处理方式.txt
[21:47:13] [238/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\59.一句话看出你和聊妹高手的差距.mp3
[21:47:35]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\59.一句话看出你和聊妹高手的差距.txt
[21:47:35] [239/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\60.那些你不知道的男女思维差异.mp3
[21:48:03]     完成（用时 28s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\60.那些你不知道的男女思维差异.txt
[21:48:03] [240/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\61.颠覆！原来通过聊天吸引女生根本不靠谱.mp3
[21:48:30]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\61.颠覆！原来通过聊天吸引女生根本不靠谱.txt
[21:48:30] [241/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\62.提升亲密度的关键契机这样制造.mp3
[21:48:45]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\62.提升亲密度的关键契机这样制造.txt
[21:48:45] [242/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\63.这才是真正的关键：调情.mp3
[21:49:10]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\63.这才是真正的关键：调情.txt
[21:49:10] [243/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\64.女生内心os：会玩角色扮演的男生好有趣！.mp3
[21:49:32]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\64.女生内心os：会玩角色扮演的男生好有趣！.txt
[21:49:32] [244/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\65.调情不是没节操，而是连接.mp3
[21:49:53]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\65.调情不是没节操，而是连接.txt
[21:49:53] [245/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\66.如何让自己成为她的奖品.mp3
[21:50:13]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\66.如何让自己成为她的奖品.txt
[21:50:13] [246/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\67.成为女人奖品必做的三件事.mp3
[21:50:33]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\67.成为女人奖品必做的三件事.txt
[21:50:33] [247/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\68.聊天中的大坑，进去你就出不来了！.mp3
[21:50:57]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\68.聊天中的大坑，进去你就出不来了！.txt
[21:50:57] [248/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\69.优质第一印象打造手册.mp3
